field_id,source_file,source_section,total_visible_records,populated_count,blank_count,expected_missing_count,not_exposed_count,inferred_only_count,unknown_missing_count,not_claimable_count,count_rule,count_status,confidence,notes
"exportMetadata.aggregate_semantics","data/internal-telemetry/telemetry-dashboard-export.json","exportMetadata","1","1","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Scalar/object field presence counted from dashboard-shaped bundled export; not raw row-level telemetry proof."
"exportMetadata.sanitizer_ruleset","data/internal-telemetry/telemetry-dashboard-export.json","exportMetadata","1","1","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Scalar/object field presence counted from dashboard-shaped bundled export; not raw row-level telemetry proof."
"exportMetadata.sqlite_open_mode","data/internal-telemetry/telemetry-dashboard-export.json","exportMetadata","1","1","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Scalar/object field presence counted from dashboard-shaped bundled export; not raw row-level telemetry proof."
"exportMetadata.sqlite_sidecar_policy","data/internal-telemetry/telemetry-dashboard-export.json","exportMetadata","1","1","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Scalar/object field presence counted from dashboard-shaped bundled export; not raw row-level telemetry proof."
"batch.backfill_batch_id","data/internal-telemetry/telemetry-dashboard-export.json","batch","1","1","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Scalar/object field presence counted from dashboard-shaped bundled export; not raw row-level telemetry proof."
"batch.source_dry_run_path","data/internal-telemetry/telemetry-dashboard-export.json","batch","1","1","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Scalar/object field presence counted from dashboard-shaped bundled export; not raw row-level telemetry proof."
"batch.mode","data/internal-telemetry/telemetry-dashboard-export.json","batch","1","1","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Scalar/object field presence counted from dashboard-shaped bundled export; not raw row-level telemetry proof."
"batch.claim_level","data/internal-telemetry/telemetry-dashboard-export.json","batch","1","1","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Scalar/object field presence counted from dashboard-shaped bundled export; not raw row-level telemetry proof."
"batch.created_at","data/internal-telemetry/telemetry-dashboard-export.json","batch","1","1","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Scalar/object field presence counted from dashboard-shaped bundled export; not raw row-level telemetry proof."
"batch.backup_path","data/internal-telemetry/telemetry-dashboard-export.json","batch","1","1","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Scalar/object field presence counted from dashboard-shaped bundled export; not raw row-level telemetry proof."
"counts.agentRuns","data/internal-telemetry/telemetry-dashboard-export.json","counts","1","1","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Scalar/object field presence counted from dashboard-shaped bundled export; not raw row-level telemetry proof."
"counts.batches","data/internal-telemetry/telemetry-dashboard-export.json","counts","1","1","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Scalar/object field presence counted from dashboard-shaped bundled export; not raw row-level telemetry proof."
"counts.candidateRecords","data/internal-telemetry/telemetry-dashboard-export.json","counts","1","1","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Scalar/object field presence counted from dashboard-shaped bundled export; not raw row-level telemetry proof."
"counts.exclusions","data/internal-telemetry/telemetry-dashboard-export.json","counts","1","1","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Scalar/object field presence counted from dashboard-shaped bundled export; not raw row-level telemetry proof."
"summaryCards.label","data/internal-telemetry/telemetry-dashboard-export.json","summaryCards","4","4","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section summaryCards; not a raw row-level completeness claim."
"summaryCards.value","data/internal-telemetry/telemetry-dashboard-export.json","summaryCards","4","4","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section summaryCards; not a raw row-level completeness claim."
"summaryCards.detail","data/internal-telemetry/telemetry-dashboard-export.json","summaryCards","4","4","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section summaryCards; not a raw row-level completeness claim."
"summaryCards.dataSourceType","data/internal-telemetry/telemetry-dashboard-export.json","summaryCards","4","4","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section summaryCards; not a raw row-level completeness claim."
"spendByModelProvider.label","data/internal-telemetry/telemetry-dashboard-export.json","spendByModelProvider","17","17","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section spendByModelProvider; not a raw row-level completeness claim."
"spendByModelProvider.value","data/internal-telemetry/telemetry-dashboard-export.json","spendByModelProvider","17","17","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section spendByModelProvider; not a raw row-level completeness claim."
"spendByModelProvider.detail","data/internal-telemetry/telemetry-dashboard-export.json","spendByModelProvider","17","17","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section spendByModelProvider; not a raw row-level completeness claim."
"spendByModelProvider.dataSourceType","data/internal-telemetry/telemetry-dashboard-export.json","spendByModelProvider","17","17","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section spendByModelProvider; not a raw row-level completeness claim."
"modelVsTask.taskTitle","data/internal-telemetry/telemetry-dashboard-export.json","modelVsTask","25","25","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section modelVsTask; not a raw row-level completeness claim."
"modelVsTask.provider","data/internal-telemetry/telemetry-dashboard-export.json","modelVsTask","25","25","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section modelVsTask; not a raw row-level completeness claim."
"modelVsTask.requestedModel","data/internal-telemetry/telemetry-dashboard-export.json","modelVsTask","25","25","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section modelVsTask; not a raw row-level completeness claim."
"modelVsTask.returnedModel","data/internal-telemetry/telemetry-dashboard-export.json","modelVsTask","25","25","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section modelVsTask; not a raw row-level completeness claim."
"modelVsTask.totalTokens","data/internal-telemetry/telemetry-dashboard-export.json","modelVsTask","25","25","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section modelVsTask; not a raw row-level completeness claim."
"modelVsTask.cost","data/internal-telemetry/telemetry-dashboard-export.json","modelVsTask","25","25","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section modelVsTask; not a raw row-level completeness claim."
"modelVsTask.generationId","data/internal-telemetry/telemetry-dashboard-export.json","modelVsTask","25","25","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section modelVsTask; not a raw row-level completeness claim."
"modelVsTask.sourceFilePath","data/internal-telemetry/telemetry-dashboard-export.json","modelVsTask","25","25","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section modelVsTask; not a raw row-level completeness claim."
"modelVsTask.dataSourceType","data/internal-telemetry/telemetry-dashboard-export.json","modelVsTask","25","25","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section modelVsTask; not a raw row-level completeness claim."
"spendByRoleReviewerRoute.label","data/internal-telemetry/telemetry-dashboard-export.json","spendByRoleReviewerRoute","9","9","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section spendByRoleReviewerRoute; not a raw row-level completeness claim."
"spendByRoleReviewerRoute.value","data/internal-telemetry/telemetry-dashboard-export.json","spendByRoleReviewerRoute","9","9","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section spendByRoleReviewerRoute; not a raw row-level completeness claim."
"spendByRoleReviewerRoute.dataSourceType","data/internal-telemetry/telemetry-dashboard-export.json","spendByRoleReviewerRoute","9","9","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section spendByRoleReviewerRoute; not a raw row-level completeness claim."
"governanceGateOutcomeByTask.gateName","data/internal-telemetry/telemetry-dashboard-export.json","governanceGateOutcomeByTask","30","30","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section governanceGateOutcomeByTask; not a raw row-level completeness claim."
"governanceGateOutcomeByTask.gateStatus","data/internal-telemetry/telemetry-dashboard-export.json","governanceGateOutcomeByTask","30","30","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section governanceGateOutcomeByTask; not a raw row-level completeness claim."
"governanceGateOutcomeByTask.gateVerdict","data/internal-telemetry/telemetry-dashboard-export.json","governanceGateOutcomeByTask","30","30","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section governanceGateOutcomeByTask; not a raw row-level completeness claim."
"governanceGateOutcomeByTask.sourceFilePath","data/internal-telemetry/telemetry-dashboard-export.json","governanceGateOutcomeByTask","30","30","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section governanceGateOutcomeByTask; not a raw row-level completeness claim."
"governanceGateOutcomeByTask.dataSourceType","data/internal-telemetry/telemetry-dashboard-export.json","governanceGateOutcomeByTask","30","30","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section governanceGateOutcomeByTask; not a raw row-level completeness claim."
"claimMovementTimeline.sourceArtifactDate","data/internal-telemetry/telemetry-dashboard-export.json","claimMovementTimeline","17","17","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section claimMovementTimeline; not a raw row-level completeness claim."
"claimMovementTimeline.claimBefore","data/internal-telemetry/telemetry-dashboard-export.json","claimMovementTimeline","17","17","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section claimMovementTimeline; not a raw row-level completeness claim."
"claimMovementTimeline.claimAfter","data/internal-telemetry/telemetry-dashboard-export.json","claimMovementTimeline","17","17","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section claimMovementTimeline; not a raw row-level completeness claim."
"claimMovementTimeline.claimMovement","data/internal-telemetry/telemetry-dashboard-export.json","claimMovementTimeline","17","17","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section claimMovementTimeline; not a raw row-level completeness claim."
"claimMovementTimeline.sourceFilePath","data/internal-telemetry/telemetry-dashboard-export.json","claimMovementTimeline","17","17","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section claimMovementTimeline; not a raw row-level completeness claim."
"claimMovementTimeline.dataSourceType","data/internal-telemetry/telemetry-dashboard-export.json","claimMovementTimeline","17","17","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section claimMovementTimeline; not a raw row-level completeness claim."
"missingTelemetryWarnings.label","data/internal-telemetry/telemetry-dashboard-export.json","missingTelemetryWarnings","12","12","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section missingTelemetryWarnings; not a raw row-level completeness claim."
"missingTelemetryWarnings.value","data/internal-telemetry/telemetry-dashboard-export.json","missingTelemetryWarnings","12","12","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section missingTelemetryWarnings; not a raw row-level completeness claim."
"missingTelemetryWarnings.dataSourceType","data/internal-telemetry/telemetry-dashboard-export.json","missingTelemetryWarnings","12","12","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section missingTelemetryWarnings; not a raw row-level completeness claim."
"ledgerCoverage.label","data/internal-telemetry/telemetry-dashboard-export.json","ledgerCoverage","12","12","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section ledgerCoverage; not a raw row-level completeness claim."
"ledgerCoverage.value","data/internal-telemetry/telemetry-dashboard-export.json","ledgerCoverage","12","12","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section ledgerCoverage; not a raw row-level completeness claim."
"ledgerCoverage.detail","data/internal-telemetry/telemetry-dashboard-export.json","ledgerCoverage","12","12","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section ledgerCoverage; not a raw row-level completeness claim."
"ledgerCoverage.dataSourceType","data/internal-telemetry/telemetry-dashboard-export.json","ledgerCoverage","12","12","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section ledgerCoverage; not a raw row-level completeness claim."
"taskReceiptRows.taskTitle","data/internal-telemetry/telemetry-dashboard-export.json","taskReceiptRows","40","40","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section taskReceiptRows; not a raw row-level completeness claim."
"taskReceiptRows.taskId","data/internal-telemetry/telemetry-dashboard-export.json","taskReceiptRows","40","40","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section taskReceiptRows; not a raw row-level completeness claim."
"taskReceiptRows.sourceFilePath","data/internal-telemetry/telemetry-dashboard-export.json","taskReceiptRows","40","40","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section taskReceiptRows; not a raw row-level completeness claim."
"taskReceiptRows.evidenceType","data/internal-telemetry/telemetry-dashboard-export.json","taskReceiptRows","40","40","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section taskReceiptRows; not a raw row-level completeness claim."
"taskReceiptRows.claimLevel","data/internal-telemetry/telemetry-dashboard-export.json","taskReceiptRows","40","40","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section taskReceiptRows; not a raw row-level completeness claim."
"taskReceiptRows.finalStatus","data/internal-telemetry/telemetry-dashboard-export.json","taskReceiptRows","40","40","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section taskReceiptRows; not a raw row-level completeness claim."
"taskReceiptRows.authorizedNextAction","data/internal-telemetry/telemetry-dashboard-export.json","taskReceiptRows","40","40","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section taskReceiptRows; not a raw row-level completeness claim."
"taskReceiptRows.missingFieldCount","data/internal-telemetry/telemetry-dashboard-export.json","taskReceiptRows","40","40","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section taskReceiptRows; not a raw row-level completeness claim."
"taskReceiptRows.dataSourceType","data/internal-telemetry/telemetry-dashboard-export.json","taskReceiptRows","40","40","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section taskReceiptRows; not a raw row-level completeness claim."
"taskReceiptRows.extractionConfidence","data/internal-telemetry/telemetry-dashboard-export.json","taskReceiptRows","40","40","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section taskReceiptRows; not a raw row-level completeness claim."
"taskReceiptRows.sourceOrigin","data/internal-telemetry/telemetry-dashboard-export.json","taskReceiptRows","40","40","0","0","0","0","0","0","Count visible values in available bundled export only; blank means null, undefined, or empty string; no category recount performed.","FIELD_OBSERVED_IN_AVAILABLE_EXPORT","medium","Array field counted across visible rows in bundled export section taskReceiptRows; not a raw row-level completeness claim."
